original_email,Tone,passive-aggressiv
Please submit your report by tomorrow.,neutral,"I guess you'll get around to submitting your report by tomorrow, right?"
Can you attend the meeting at 3 PM?,neutral,"Oh, I'm sure you'll find a way to squeeze the 3 PM meeting into your busy schedule."
I need your input on this project soon.,neutral,"Whenever you feel like giving your input on this project, I'll be waiting patiently."
Could you finish the slides by Friday?,neutral,"I suppose you'll manage to finish the slides by Friday, if it's not too much trouble."
Please clean up the shared workspace.,neutral,It'd be great if you could clean up the shared workspace—whenever you get the chance.
The deadline is next week.,neutral,"I guess the deadline is next week, though I'm sure you'll figure it out eventually."
Our team meeting starts at 9 AM.,neutral,"Apparently, our team meeting starts at 9 AM; I assume you'll be there."
The document has been updated.,neutral,"The document has been updated, so you might want to take a look, if you care."
Please review the attached file.,neutral,I suppose you'll review the attached file when you find a spare moment.
The conference call is scheduled for 11 AM.,neutral,"The conference call is scheduled for 11 AM, so try not to miss it."
Your presence is required at the meeting.,neutral,"Your presence is required at the meeting, though I doubt you'll make an appearance."
Please update your availability in the calendar.,neutral,"It would be nice if you updated your availability in the calendar, whenever you remember."
The proposal has been approved.,neutral,"The proposal has been approved, in case you were wondering."
The project details are in the email.,neutral,"The project details are in the email, so maybe you'll finally read it."
The new guidelines are effective immediately.,neutral,"The new guidelines are effective immediately, whether you're ready or not."
The data report has been submitted.,neutral,"The data report has been submitted, if that matters to you."
The office will be closed on Monday.,neutral,"The office will be closed on Monday, so I guess you'll have to plan accordingly."
Your feedback is requested.,neutral,"Your feedback is requested, though I'm not sure you'll bother."
The meeting minutes are attached.,neutral,"The meeting minutes are attached—read them when you can, I suppose."
Please confirm your attendance.,neutral,"Please confirm your attendance, if it's not too much to ask."
Please send the client proposal by noon.,neutral,"I suppose you’ll send the client proposal by noon, if you can manage it."
The training session is tomorrow at 10 AM.,neutral,"The training session is tomorrow at 10 AM, so try not to oversleep."
Could you share the quarterly results with the team?,neutral,"Whenever you get around to it, maybe share the quarterly results with the team."
The expense forms need to be submitted by Friday.,neutral,"The expense forms need to be submitted by Friday, assuming you remember."
Please RSVP to the company event by tomorrow.,neutral,"Please RSVP to the company event by tomorrow, if it’s not too inconvenient."
The system update will occur tonight.,neutral,"The system update will occur tonight, whether you’re prepared or not."
Can you provide your availability for next week?,neutral,"Can you provide your availability for next week, or is that too much to ask?"
The marketing plan needs a final review.,neutral,"The marketing plan needs a final review, whenever you feel like it."
Please lock the office when you leave.,neutral,"Please lock the office when you leave, if you don’t mind too much."
The invoice details are due by end of day.Please send the revised proposal to the client by noon.,neutral,"The invoice details are due by end of day, I guess you’ll figure it out.I suppose you’ll send the revised proposal to the client by noon, if you can manage it."
The team meeting is scheduled for Wednesday at 11 AM.,neutral,"The team meeting is scheduled for Wednesday at 11 AM, so try not to double-book yourself again."
Can you share the latest inventory data with me?,neutral,"Can you share the latest inventory data with me, or is that still too complicated for you?"
The printer on the third floor is out of service.,neutral,"The printer on the third floor is out of service, but I’m sure you’ll figure out a workaround."
Please complete the compliance training by next Friday.,neutral,"Please complete the compliance training by next Friday, assuming you don’t forget like last time."
The quarterly report is due to management tomorrow.,neutral,"The quarterly report is due to management tomorrow, so I hope you’ve started it by now."
Can you arrange a call with the supplier this week?,neutral,"Can you arrange a call with the supplier this week, or will that be too much trouble?"
The parking lot will be repaved this weekend.,neutral,"The parking lot will be repaved this weekend, so maybe plan to arrive on time for once."
Please update your availability for next month’s schedule.,neutral,"Please update your availability for next month’s schedule, if you can be bothered."
The new security badges will be distributed on Monday.,neutral,"The new security badges will be distributed on Monday, so don’t lose yours again."
Can you clarify the budget allocation for this project?,neutral,"Can you clarify the budget allocation for this project, or are we still guessing?"
